,labels,gpt_script
0,9,"target: 9
"
1,15,"target: 15
"
2,16,"target: 16
"
3,6,"target: 6
"
4,14,"target: 14
"
5,11,"target: 11
"
6,8,"target: 8
"
7,4,"target: 4
"
8,18,"target: 18
"
9,11,"target: 11
"
10,24,"target: 24
"
11,19,"target: 19
"
12,45,"target: 45
"
13,0,"target: 8
"
14,2,"target: 2
"
15,8,"target: -2
"
16,7,"Jake has 7 peaches.
"
17,3,"target: 3
"
18,7,"Jake has: 7
"
19,12,"target: 12
"
20,6,"target: 6
"
21,5,"target: 5
"
22,4,"target: 4
"
23,3,"target: 3
"
24,1,"target: 1
"
25,2,"target: 2
"
26,5,"target: 5
"
27,1,"target: 1
"
28,3,"target: 3
"
29,13,"target: -0.13
"
30,45,"target: 45
"
31,55,"target: 55
"
32,38,"target: 38
"
33,18,"target: 90
"
34,12,"target: 12
"
35,5,"target: 5
"
36,15,"target: 15
"
37,12,"target: 12
"
38,6,"target: 6
"
39,7,"target: 7
"
40,12,"target: 12
"
41,6,"target: 6
"
42,4,"target: 4
"
43,6,"target: 6
"
44,10,"target: 10
"
45,16,"target: 16
"
46,14,"target: 14
"
47,15,"target: 15
"
48,18,"target: 18
"
49,11,"target: 11
"
50,7,"target: 7
"
51,18,"target: 18
"
52,7,"target: 7
"
53,7,"target: 7
"
54,7,"target: 7
"
55,5,"target: 5
"
56,28,"target: 28
"
57,22,"target: 22
"
58,38,"target: 38
"
59,929,"target: 929
"
60,62,"target: 62
"
61,46,"target: 46
"
62,113,"target: 113
"
63,616,"target: 616
"
64,803,"target: 803
"
65,700,"target: 700
"
66,20,"target: 20
"
67,35,"target: 35
"
68,33,"target: 33
"
69,40,"target: 40
"
70,43,"target: 43
"
71,32,"target: 32
"
72,60,"target: 60
"
73,77,"target: 77
"
74,19,"target: 19
"
75,20,"target: 20
"
76,37,"target: 37
"
77,21,"target: 0.21000000000000002
"
78,17,"target: 17
"
79,37,"target: 37
"
80,24,"target: 24
"
81,36,"target: 36
"
82,22,"target: 22
"
83,31,"target: 31
"
84,69,"target: 69
"
85,6,"target: 6
"
86,12,"target: 12
"
87,79,"target: 79
"
88,31,"target: 31
"
89,66,"target: 42
"
90,14,"target: 14
"
91,9,"target: 9
"
92,6,"target: 6
"
93,23,"target: 23
"
94,17,"target: 17
"
95,18,"target: 18
"
96,32,"target: 32
"
97,22,"target: 22
"
98,42,"target: 42
"
99,50,"target: 50
"
100,13,"target: 13
"
101,7,"target: 7
"
102,63,"target: 63
"
103,278,"target: 278
"
104,95,"target: 95
"
105,26,"target: 26
"
106,26,"target: 60
"
107,44,"target: 20
"
108,36,"target: 36
"
109,57,"target: 57
"
110,55,"target: 55
"
111,244,"target: 244
"
112,152,"Carter has: 152
"
113,17,"target: 17
"
114,53,"target: 53
"
115,23,"target: 23
"
116,19,"target: 19
"
117,127,"target: 127
"
118,43,"target: 43
"
119,275,"target: 275
"
120,61,"target: 61
"
121,49,"target: 49
"
122,38,"target: 38
"
123,111,"Josh has 111 pencils left.
"
124,28,"target: 28
"
125,51,"target: 51
"
126,77,"target: 77
"
127,32,"target: 32
"
128,53,"target: 53
"
129,29,"target: 29
"
130,105,"target: 105
"
131,62,"target: 62
"
132,61,"target: 61
"
133,22,"target: 22
"
134,23,"Andre gave Rosa 23 flowers.
"
135,30,"target: 30
"
136,21,"target: 21
"
137,41,"target: 41
"
138,9,"target: 9
"
139,6,"target: 6
"
140,9,"target: 9
"
141,48,"target: 48
"
142,48,"target: 48
"
143,198,"target: 198
"
144,61,"target: 61
"
145,23,"target: 23
"
146,46,"target: 60.0
"
147,135,"target: 135
"
148,300,"target: 3.0
"
149,52,"target: 52
"
150,10,"target: 10
"
151,13,"target: 13
"
152,4,"target: 4
"
153,18,"target: 18
"
154,80,"target: 80
"
155,3,"target: 3.0
"
156,24,"target: 24
"
157,32,"target: 32
"
158,21,"target: 21
"
159,4,"target: 4
"
160,21,"target: 21
"
161,383,"target: 383
"
162,9,"target: 9
"
163,165,"target: 165
"
164,10,"target: 10
"
165,24,"target: 24
"
166,24,"target: 24
"
167,25,"target: 25
"
168,48,"target: 48
"
169,20,"target: 20
"
170,2,"target: 2.0
"
171,15,"target: 15
"
172,149,"target: 149
"
173,50,"target: 50
"
174,59,"target: 59
"
175,66,"target: 66
"
176,168,"target: 168
"
177,65,"target: 65
"
178,30,"target: 30
"
179,15,"target: 15
"
180,35,"target: 35
"
181,95,"target: 181
"
182,70,"target: 70
"
183,69,"target: 69
"
184,30,"target: 30
"
185,55,"target: 55
"
186,90,"target: 90
"
187,45,"target: 45
"
188,70,"target: 70
"
189,38,"target: 38
"
190,50,"target: 50
"
191,30,"target: 30
"
192,45,"target: 45
"
193,50,"target: 50
"
194,155,"target: 155
"
195,110,"target: 110
"
196,20,"target: 20
"
197,20,"target: 20
"
198,30,"target: 30
"
199,80,"target: 80
"
200,65,"target: 65
"
201,78,"target: 78
"
202,50,"target: 50
"
203,95,"target: 95
"
204,55,"target: 55
"
205,45,"target: 45
"
206,65,"target: 65
"
207,49,"target: 49
"
208,63,"target: 63
"
209,93,"target: 93
"
210,76,"target: 76
"
211,61,"target: 61
"
212,98,"target: 98
"
213,51,"target: 612
"
214,35,"target: 35
"
215,43,"target: 43
"
216,52,"target: 52
"
217,74,"target: 74
"
218,100,"target: 100
"
219,45,"target: 45
"
220,51,"target: 51
"
221,94,"target: 94
"
222,145,"target: 145
"
223,70,"target: 70
"
224,97,"target: 97
"
225,68,"target: 107
"
226,123,"target: 123
"
227,40,"target: 40
"
228,71,"target: 71
"
229,63,"target: 63
"
230,574,"target: 574
"
231,109,"target: 109
"
232,667,"target: 667
"
233,480,"target: 480
"
234,203,"target: 203
"
235,892,"target: 892
"
236,601,"target: 601
"
237,423,"target: 423
"
238,829,"target: 829
"
239,952,"target: 952
"
240,403,"target: 403
"
241,760,"target: 0
"
242,934,"target: 934
"
243,547,"target: 547
"
244,1212,"target: 1212
"
245,862,"target: 862
"
246,900,"target: 900
"
247,861,"target: 861
"
248,729,"target: 729
"
249,400,"target: 400
"
250,612,"target: 612
"
251,1454,"target: 1454
"
252,991,"target: 991
"
253,992,"target: 992
"
254,582,"target: 582
"
255,814,"target: 814
"
256,672,"target: 672
"
257,391,"target: 391
"
258,513,"target: 513
"
259,400,"target: 400
"
260,35,"target: 35
"
261,30,"target: 30
"
262,12,"target: 12
"
263,34,"target: 34
"
264,65,"target: 65
"
265,19,"target: 19
"
266,34,"target: 34
"
267,20,"Remaining candies: 20
"
268,18,"turkeys left for the family to eat: 18
"
269,11,"target: 11
"
270,24,"target: 24
"
271,39,"target: 39
"
272,14,"target: 14
"
273,59,"target: 59
"
274,63,"target: 63
"
275,85,"target: 85.0
"
276,69,"target: 69.0
"
277,19,"target: 19.0
"
278,18,"target: 18.0
"
279,73,"target: 73.0
"
280,48,"target: 74
"
281,17,"target: 17
"
282,39,"target: 39
"
283,65,"Black Team's final score: 65
"
284,19,"target: 19
"
285,18,
286,38,"target: 38
"
287,32,"target: 32
"
288,48,"target: 48
"
289,27,"target: 27
"
290,303,"target: 303
"
291,9,"target: 9
"
292,506,"target: 506
"
293,107,"target: 107
"
294,184,"target: 184
"
295,346,"target: 346.0
"
296,168,"target: 168
"
297,478,"target: 478
"
298,386,"target: 386
"
299,44,"target: 44
"
300,66,"target: 66
"
301,208,"target: 208
"
302,192,"target: 192
"
303,147,"target: 147
"
304,149,"target: 149
"
305,513,"target: 513
"
306,212,"The client already has 212 grams of wax glue.
"
307,396,"target: 396
"
308,359,"target: 359
"
309,176,"target: 176
"
310,207,"target: 207
"
311,67,"target: 67
"
312,163,"target: 163
"
313,47,"target: 47
"
314,151,"target: 151
"
315,834,"target: 834.0
"
316,705,"target: 705.0
"
317,68,"target: 68.0
"
318,276,"target: 276.0
"
319,139,"target: 139.0
"
320,240,"target: 240
"
321,120,"target: 120
"
322,405,"target: 555
"
323,180,"target: 180
"
324,164,"target: 164
"
325,117,"target: 117
"
326,109,"target: 109
"
327,82,"target: 82
"
328,98,"target: -98
"
329,11,"target: 11
"
330,735,"target: 735
"
331,385,"target: 385
"
332,25,"target: 25
"
333,91,"target: 91
"
334,48,"target: 48
"
335,45,"target: 45
"
336,182,"target: 182
"
337,69,"target: 69
"
338,125,"target: 125
"
339,174,"target: 174.0
"
340,68,"target: 68
"
341,90,"target: 90.0
"
342,136,"target: 136
"
343,166,"target: 166
"
344,548,"target: 548.0
"
345,230,"target: 230.0
"
346,225,"target: 225.0
"
347,315,"target: 315.0
"
348,1000,"target: -140
"
349,262,"target: 262.0
"
350,12,"target: 12
"
351,12,"target: 12
"
352,25,"target: 25
"
353,16,"target: 16
"
354,45,"target: 45.0
"
355,42,"target: 42
"
356,40,"target: 40
"
357,54,"target: 54
"
358,56,"target: 56
"
359,12,"target: 12
"
360,20,"target: 20
"
361,30,"target: 30
"
362,72,"target: 72
"
363,14,"target: 14
"
364,15,"target: 15
"
365,21,"target: 21
"
366,36,"target: 36
"
367,40,"target: 40
"
368,18,"target: 18
"
369,63,"target: 63
"
370,45,"target: 45
"
371,35,"target: 35
"
372,54,"target: 54
"
373,72,"target: 72
"
374,8,"target: 8.0
"
375,16,"target: 16
"
376,12,"target: 12
"
377,81,"target: 81
"
378,9,"Tom needs to pay: 9.0
"
379,42,"target: 42
"
380,100,"target: 100
"
381,50,"target: 50
"
382,90,"target: 90
"
383,350,"target: 350
"
384,800,"target: 800
"
385,60,"target: 60
"
386,320,"target: 320
"
387,540,"target: 540
"
388,70,"target: 70
"
389,300,"target: 300
"
390,480,"target: 480
"
391,150,"target: 150
"
392,80,"target: 80
"
393,270,"target: 270
"
394,140,"target: 140
"
395,180,"Sky Falls height: 180
"
396,210,"target: 210
"
397,400,"target: 400
"
398,240,"target: 240.0
"
399,100,"target: 100
"
400,270,"target: 270
"
401,160,"target: 160
"
402,250,"target: 250
"
403,490,"target: 490
"
